ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
2,"Part time",2016,"2016",1004,"Carnegie Mellon University","211440","carnegie-mellon-university",0.07572786242268818
2,"Part time",2016,"2016",3602,"University of Pennsylvania","215062","university-of-pennsylvania",0.14431089743589742
2,"Part time",2016,"2016",585,"Brown University","217156","brown-university",0.05980983539515387
1,"Full time",2015,"2015",5105931,"Doctoral Universities","DOC","doctoral-universities",0.7834890870126566
2,"Part time",2015,"2015",1410983,"Doctoral Universities","DOC","doctoral-universities",0.2165109129873434
1,"Full time",2015,"2015",2819994,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8377244148170593
2,"Part time",2015,"2015",546261,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1622755851829407
1,"Full time",2015,"2015",17185,"Northwestern University","147767","northwestern-university",0.7935811590856615
1,"Full time",2015,"2015",13806,"Johns Hopkins University","162928","johns-hopkins-university",0.608569161597461
1,"Full time",2015,"2015",6236,"Dartmouth College","182670","dartmouth-college",0.9820472440944882
1,"Full time",2015,"2015",11790,"Carnegie Mellon University","211440","carnegie-mellon-university",0.9095116871094654
1,"Full time",2015,"2015",21563,"University of Pennsylvania","215062","university-of-pennsylvania",0.86681942434475
1,"Full time",2015,"2015",8894,"Brown University","217156","brown-university",0.9403679424825544
2,"Part time",2015,"2015",4470,"Northwestern University","147767","northwestern-university",0.2064188409143385
2,"Part time",2015,"2015",8880,"Johns Hopkins University","162928","johns-hopkins-university",0.391430838402539
2,"Part time",2015,"2015",114,"Dartmouth College","182670","dartmouth-college",0.017952755905511812
2,"Part time",2015,"2015",1173,"Carnegie Mellon University","211440","carnegie-mellon-university",0.09048831289053459
2,"Part time",2015,"2015",3313,"University of Pennsylvania","215062","university-of-pennsylvania",0.13318057565525004
2,"Part time",2015,"2015",564,"Brown University","217156","brown-university",0.05963205751744555
